,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-8.04144E-03,-6.00000E+00,5.60000E+00,1.60000E-01,0.00000E+00
-8.03944E-03,-6.00000E+00,5.60000E+00,1.60000E-01,0.00000E+00
-8.03744E-03,-5.92000E+00,5.60000E+00,1.60000E-01,0.00000E+00
-8.03544E-03,-6.00000E+00,5.60000E+00,1.60000E-01,0.00000E+00
-8.03344E-03,-5.92000E+00,5.60000E+00,1.60000E-01,0.00000E+00
-8.03144E-03,-5.92000E+00,5.60000E+00,1.60000E-01,0.00000E+00
-8.02944E-03,-5.92000E+00,5.60000E+00,1.60000E-01,0.00000E+00
-8.02744E-03,-5.92000E+00,5.52000E+00,2.40000E-01,0.00000E+00
-8.02544E-03,-5.92000E+00,5.52000E+00,2.40000E-01,0.00000E+00
-8.02344E-03,-5.92000E+00,5.52000E+00,1.60000E-01,0.00000E+00
-8.02144E-03,-5.92000E+00,5.44000E+00,1.60000E-01,0.00000E+00
-8.01944E-03,-5.92000E+00,5.52000E+00,2.40000E-01,8.00000E-02
-8.01744E-03,-5.92000E+00,5.44000E+00,2.40000E-01,8.00000E-02
-8.01544E-03,-5.92000E+00,5.52000E+00,2.40000E-01,0.00000E+00
-8.01344E-03,-5.84000E+00,5.44000E+00,2.40000E-01,0.00000E+00
-8.01144E-03,-5.84000E+00,5.52000E+00,2.40000E-01,0.00000E+00
-8.00944E-03,-5.84000E+00,5.44000E+00,2.40000E-01,0.00000E+00
-8.00744E-03,-5.84000E+00,5.44000E+00,2.40000E-01,0.00000E+00
-8.00544E-03,-5.84000E+00,5.36000E+00,2.40000E-01,0.00000E+00
-8.00344E-03,-5.84000E+00,5.36000E+00,2.40000E-01,0.00000E+00
-8.00144E-03,-5.84000E+00,5.36000E+00,2.40000E-01,0.00000E+00
-7.99944E-03,-5.84000E+00,5.36000E+00,2.40000E-01,8.00000E-02
-7.99744E-03,-5.84000E+00,5.36000E+00,2.40000E-01,0.00000E+00
-7.99544E-03,-5.76000E+00,5.36000E+00,3.20000E-01,0.00000E+00
-7.99344E-03,-5.76000E+00,5.36000E+00,3.20000E-01,0.00000E+00
-7.99144E-03,-5.76000E+00,5.36000E+00,2.40000E-01,0.00000E+00
-7.98944E-03,-5.76000E+00,5.36000E+00,4.00000E-01,0.00000E+00
-7.98744E-03,-5.76000E+00,5.28000E+00,4.00000E-01,0.00000E+00
-7.98544E-03,-5.76000E+00,5.36000E+00,4.80000E-01,8.00000E-02
-7.98344E-03,-5.76000E+00,5.28000E+00,4.00000E-01,0.00000E+00
-7.98144E-03,-5.76000E+00,5.28000E+00,4.80000E-01,0.00000E+00
-7.97944E-03,-5.76000E+00,5.28000E+00,4.80000E-01,0.00000E+00
-7.97744E-03,-5.76000E+00,5.28000E+00,4.80000E-01,0.00000E+00
-7.97544E-03,-5.68000E+00,5.20000E+00,4.80000E-01,0.00000E+00
-7.97344E-03,-5.76000E+00,5.20000E+00,4.80000E-01,0.00000E+00
-7.97144E-03,-5.68000E+00,5.20000E+00,4.80000E-01,0.00000E+00
-7.96944E-03,-5.68000E+00,5.20000E+00,5.60000E-01,0.00000E+00
-7.96744E-03,-5.68000E+00,5.20000E+00,5.60000E-01,0.00000E+00
-7.96544E-03,-5.68000E+00,5.12000E+00,5.60000E-01,0.00000E+00
-7.96344E-03,-5.68000E+00,5.12000E+00,5.60000E-01,0.00000E+00
-7.96144E-03,-5.68000E+00,5.12000E+00,5.60000E-01,0.00000E+00
-7.95944E-03,-5.68000E+00,5.12000E+00,5.60000E-01,0.00000E+00
-7.95744E-03,-5.60000E+00,5.12000E+00,5.60000E-01,0.00000E+00
-7.95544E-03,-5.68000E+00,5.12000E+00,5.60000E-01,0.00000E+00
-7.95344E-03,-5.60000E+00,5.12000E+00,6.40000E-01,0.00000E+00
-7.95144E-03,-5.60000E+00,5.12000E+00,6.40000E-01,-8.00000E-02
